country,disease,color
Democratic Republic of the Congo,Peste bubonique,red
La Réunion,Leptospirose,yellow
Equatorial Guinea,Virus de Marbourg,green
Ghana,Anthrax,yellow
South Africa,Choléra,yellow
South Africa,Rage,yellow
United Republic of Tanzania,Virus de Marbourg,green
Ivory Coast,Fièvre jaune,green
Senegal,Fièvre de Crimée et Congo,green
South Africa,Oreillons,green
Kenya,Anthrax,yellow
United Republic of Tanzania,Rougeole,green
South Sudan,Hépatite E,yellow
Ethiopia,Rougeole,yellow
Nigeria,Fièvre de Lassa,red
Nigeria,Diphtérie,red
Nigeria,Méningite à méningo C,red
Togo,Méningite à pneumocoque,green
